timestamp_utc,pod,cpu_percent,memory_mib
2026-07-04T16:46:28.960Z,jenkins-process,3.5,610.90
2026-07-04T16:46:29.699Z,jenkins-process,3.5,610.83
2026-07-04T16:46:30.473Z,jenkins-process,3.5,610.83
2026-07-04T16:46:31.302Z,jenkins-process,3.5,610.83
2026-07-04T16:46:32.088Z,jenkins-process,3.5,610.83
2026-07-04T16:46:32.929Z,jenkins-process,3.5,610.83
2026-07-04T16:46:33.893Z,jenkins-process,3.5,610.83
2026-07-04T16:46:34.833Z,jenkins-process,3.5,610.84
2026-07-04T16:46:35.739Z,jenkins-process,3.5,610.84
2026-07-04T16:46:36.665Z,jenkins-process,3.5,610.84
2026-07-04T16:46:37.600Z,jenkins-process,3.5,610.84
2026-07-04T16:46:38.565Z,jenkins-process,3.5,610.84
2026-07-04T16:46:39.369Z,jenkins-process,3.5,610.97
2026-07-04T16:46:40.237Z,jenkins-process,3.5,611.06
2026-07-04T16:46:41.085Z,jenkins-process,3.5,611.12
2026-07-04T16:46:42.008Z,jenkins-process,3.5,611.19
2026-07-04T16:46:42.906Z,jenkins-process,3.5,611.19
2026-07-04T16:46:43.892Z,jenkins-process,3.5,611.07
2026-07-04T16:46:44.681Z,jenkins-process,3.5,611.07
2026-07-04T16:46:45.577Z,jenkins-process,3.5,611.07
2026-07-04T16:46:46.376Z,jenkins-process,3.5,611.07
2026-07-04T16:46:47.233Z,jenkins-process,3.5,611.07
2026-07-04T16:46:48.021Z,jenkins-process,3.5,611.07
2026-07-04T16:46:48.740Z,jenkins-process,3.5,611.07
2026-07-04T16:46:49.507Z,jenkins-process,3.5,611.07
2026-07-04T16:46:50.406Z,jenkins-process,3.5,611.07
2026-07-04T16:46:51.224Z,jenkins-process,3.5,611.07
2026-07-04T16:46:51.987Z,jenkins-process,3.5,611.07
2026-07-04T16:46:52.814Z,jenkins-process,3.5,611.07
2026-07-04T16:46:53.656Z,jenkins-process,3.5,611.08
2026-07-04T16:46:54.510Z,jenkins-process,3.5,611.08
2026-07-04T16:46:55.456Z,jenkins-process,3.5,611.08
2026-07-04T16:46:56.405Z,jenkins-process,3.5,611.08
2026-07-04T16:46:57.229Z,jenkins-process,3.5,611.08
2026-07-04T16:46:58.057Z,jenkins-process,3.5,611.08
2026-07-04T16:46:58.864Z,jenkins-process,3.5,611.08
2026-07-04T16:46:59.714Z,jenkins-process,3.5,611.51
2026-07-04T16:47:00.576Z,jenkins-process,3.5,611.70
