timestamp_utc,scenario,pod,cpu_millicores,memory_mib
2026-04-24T08:02:35Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:35Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:35Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:35Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:35Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:35Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:35Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:36Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:36Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:36Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:36Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:36Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:36Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:36Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:37Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:37Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:37Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:37Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:37Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:37Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:37Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:38Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:38Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:38Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:38Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:38Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:38Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:38Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:39Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:39Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:39Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:39Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:39Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:39Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:39Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:40Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:40Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:40Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:40Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:40Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:40Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:40Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:41Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:41Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:41Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:41Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:41Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:41Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:41Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:42Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:42Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:42Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:42Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:42Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:42Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:42Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:43Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:43Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:43Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:43Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:43Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:43Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:43Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:44Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:44Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:44Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:44Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:44Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:44Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:44Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:45Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:45Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:45Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:45Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:45Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:45Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:45Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:47Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:47Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:47Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:47Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:47Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:47Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:47Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:49Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:49Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:49Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:49Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:49Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:49Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:49Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:50Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:50Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:50Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
2026-04-24T08:02:50Z,combined,argocd-notifications-controller-8495566bcf-6l7vb,1m,22Mi
2026-04-24T08:02:50Z,combined,argocd-redis-85cfb75bdd-44jsl,4m,9Mi
2026-04-24T08:02:50Z,combined,argocd-repo-server-9fd46496f-q9g6f,1m,35Mi
2026-04-24T08:02:50Z,combined,argocd-server-9c669c566-kmphd,1m,58Mi
2026-04-24T08:02:52Z,combined,argocd-application-controller-0,2m,165Mi
2026-04-24T08:02:52Z,combined,argocd-applicationset-controller-68fb4455bb-6d6k5,1m,25Mi
2026-04-24T08:02:52Z,combined,argocd-dex-server-76dcbcbc86-qmt95,1m,25Mi
